rssi,snr,relay
-0.866839948528711,-0.9320147153481719,1
0.6303737586510137,0.6904290744203398,1
1.6998121209222459,1.7326611777815695,0
1.4859244484679994,1.4210660128591397,0
-1.2411433753236423,-1.3295671671457543,1
-0.22517693116597187,-0.3732923506596778,0
1.0581491035595065,1.2061727956712573,0
-0.06476117682528706,-0.16914379433118962,1
-1.6154468021185735,-1.5981836886306071,1
1.4859244484679994,1.6574485517658106,0
-0.11823309493884866,-0.040207864018460174,0
-1.5619748840050118,-1.7056302972245485,1
0.36301416808320575,0.1746853531694222,0
-0.7598961123015879,-0.7493554807384719,1
0.09565457751539774,-0.21212243776876602,0
0.2560703318560826,0.5507484832482163,0
1.2185648579001913,1.163194152233681,0
0.20259841374252094,0.5292591615294281,1
1.2185648579001913,1.5822359257500516,0
-0.43906460362021826,-0.43776031581604247,1
0.2560703318560826,0.07798340543487514,0
-0.6529522760744647,-1.2328652194112073,1
-1.3480872115507656,-0.9212700544887777,1
-0.9737837847558343,-0.6633981938633191,1
-0.866839948528711,-0.5129729418318014,1
-1.1341995390965192,-1.200631236833025,1
-1.5619748840050118,-1.7056302972245485,1
0.5234299224238905,0.3465999269197281,1
-0.2786488492795335,-0.6526535330039248,1
0.30954224996964413,0.3143659443415457,1
-0.4925365217337799,-0.8030787850354425,1
-1.401559129664327,-1.2543545411299954,1
0.042182659401836145,-0.30882438550331315,0
-0.9203118666422727,-1.0716953065202957,1
-0.866839948528711,-1.103929289098478,1
-0.9737837847558343,-1.1791419151142368,1
-1.0272557028693958,-0.7063768373008954,1
0.6838456767645754,0.9483009350457987,0
-1.3480872115507656,-1.2973331845675717,1
1.0581491035595065,1.2169174565306518,0
0.737317594878137,0.9053222916082222,0
1.3255086941273146,1.700427195203387,0
-1.4550310477778887,-1.512226401755454,1
1.4859244484679994,1.1846834739524692,0
-1.0807276209829575,-0.8782914110512013,1
-1.0807276209829575,-0.6096748895663485,1
0.09565457751539774,0.15319603145063393,0
-0.06476117682528706,0.09947272715366334,1
0.9512052673323834,0.7119183961391281,0
0.36301416808320575,0.3788339094979104,0
-0.11823309493884866,0.11021738801305747,1
1.6463402028086842,1.7326611777815695,0
0.6838456767645754,1.0127689002021634,0
1.1650929397866299,1.2169174565306518,0
1.1116210216730682,1.0235135610615576,0
-0.38559268550665665,-0.16914379433118962,0
-0.2786488492795335,-0.39478167237846606,1
-0.11823309493884866,0.1746853531694222,0
0.8977333492188218,0.6152164484045811,0
0.9512052673323834,0.9053222916082222,0
-0.8133680304151495,-0.7171214981602897,1
0.30954224996964413,0.22840865746639277,0
-1.294615293437204,-1.0609506456609012,1
1.378980612240876,1.4425553345779283,0
0.9512052673323834,0.797875683014281,0
0.20259841374252094,0.3143659443415457,0
-0.7064241941880263,-1.1683972542548424,1
-0.11823309493884866,0.024260101137904545,0
-0.11823309493884866,-0.050952524877854254,1
-0.11823309493884866,-0.0724418465966425,1
1.3255086941273146,1.614469908328234,0
-0.4925365217337799,-0.4270156549566484,1
-1.2411433753236423,-1.4585030974584836,1
-1.1876714572100806,-1.103929289098478,1
-0.2786488492795335,-0.2873350637845249,1
0.36301416808320575,0.5400038223888223,0
-1.3480872115507656,-1.4799924191772718,1
0.41648608619676736,0.8838329698894338,0
-1.294615293437204,-1.2650992019893899,1
-0.17170501305241026,-0.5237176026911955,1
-1.401559129664327,-1.3725458105833306,1
0.6838456767645754,1.0342582219209517,0
-1.401559129664327,-1.4477584365990896,1
0.5234299224238905,0.6367057701233693,0
-0.33212076739309504,-0.25510108120634256,0
-1.3480872115507656,-1.5659497060524248,1
-0.8133680304151495,-0.9427593762075662,1
0.30954224996964413,0.787131022154887,0
